TIME,DATE,@ActExtTorque6,@ActConsumpPower
12:08:23,20200822,20.07,18.9
12:08:38,20200822,20.41,18.3
12:08:49,20200822,20.57,17.0
12:08:59,20200822,20.2,16.3
12:09:09,20200822,20.11,15.5
12:09:24,20200822,20.45,14.9
12:09:34,20200822,20.32,14.8
12:09:50,20200822,20.15,14.5
12:10:00,20200822,19.86,14.8
12:10:10,20200822,20.07,15.4
12:10:25,20200822,20.41,15.8
12:10:36,20200822,20.57,17.0
12:10:51,20200822,20.24,18.0
12:11:01,20200822,20.28,18.6
12:11:11,20200822,20.45,20.3
12:11:26,20200822,20.36,21.5
12:11:36,20200822,20.32,21.7
12:11:47,20200822,20.41,21.6
12:12:02,20200822,20.36,22.4
12:12:12,20200822,20.24,21.8
12:12:22,20200822,20.45,22.1
12:12:37,20200822,20.45,21.1
12:12:48,20200822,20.49,20.0
12:13:03,20200822,20.49,19.1
12:13:13,20200822,20.28,18.0
12:13:23,20200822,20.32,17.0
12:13:39,20200822,20.41,15.8
12:13:49,20200822,20.36,14.8
12:14:04,20200822,20.11,14.3
12:14:14,20200822,20.03,14.1
12:14:25,20200822,19.69,14.3
12:14:40,20200822,19.99,15.1
12:14:50,20200822,20.28,15.7
12:15:00,20200822,20.28,17.0
12:15:15,20200822,20.24,17.9
12:15:26,20200822,20.2,18.8
12:15:36,20200822,20.32,19.9
12:15:51,20200822,20.24,20.7
12:16:01,20200822,20.32,20.8
12:16:16,20200822,20.2,21.2
12:16:27,20200822,19.94,20.4
12:16:37,20200822,20.28,20.1
12:16:52,20200822,20.36,19.4
12:17:02,20200822,20.41,18.8
12:17:18,20200822,20.53,17.9
12:17:28,20200822,20.53,17.1
12:17:38,20200822,20.41,16.1
12:17:53,20200822,20.11,15.7
12:18:03,20200822,20.15,15.6
12:18:14,20200822,20.03,15.1
12:18:29,20200822,20.15,15.0
12:18:39,20200822,20.2,15.3
12:18:49,20200822,20.24,15.3
12:19:05,20200822,20.07,15.7
12:19:15,20200822,20.11,16.0
12:19:30,20200822,20.32,16.5
12:19:40,20200822,20.28,17.6
12:19:56,20200822,20.24,18.3
12:20:06,20200822,20.32,18.4
12:20:16,20200822,19.94,19.3
12:20:31,20200822,20.32,19.9
12:20:42,20200822,20.57,21.0
12:20:52,20200822,20.45,22.2
12:21:02,20200822,20.41,22.6
12:21:17,20200822,20.95,22.1
12:21:27,20200822,20.53,22.1
12:21:43,20200822,20.82,22.0
12:21:53,20200822,20.66,22.5
12:22:08,20200822,20.57,22.0
12:22:18,20200822,20.49,20.7
12:22:29,20200822,20.45,20.5
12:22:44,20200822,20.53,20.0
12:22:54,20200822,20.24,18.2
12:23:09,20200822,20.24,17.0
12:23:19,20200822,20.07,16.5
12:23:30,20200822,19.99,15.5
12:23:45,20200822,20.03,14.8
12:23:55,20200822,19.78,14.7
12:24:05,20200822,20.2,14.3
12:24:21,20200822,19.99,13.9
12:24:31,20200822,19.99,13.8
12:24:41,20200822,20.15,13.9
12:24:56,20200822,20.2,14.5
12:25:06,20200822,20.03,15.3
12:25:22,20200822,19.9,15.9
12:25:32,20200822,19.78,16.6
12:25:42,20200822,19.94,17.5
12:25:57,20200822,20.07,18.3
12:26:07,20200822,20.2,18.3
12:26:18,20200822,19.99,18.6
12:26:33,20200822,20.2,19.4
12:26:43,20200822,20.53,19.5
12:26:53,20200822,20.45,19.7
12:27:09,20200822,20.28,19.9
12:27:19,20200822,20.07,20.0
12:27:29,20200822,20.11,19.5
12:27:44,20200822,20.03,19.5
12:27:55,20200822,20.53,19.2
12:28:10,20200822,20.24,18.9
12:28:20,20200822,20.45,18.8
12:28:35,20200822,20.36,18.6
12:28:45,20200822,20.49,19.0
12:29:00,20200822,20.07,19.2
